feed_version,feed_start_date,feed_end_date,fare_id,route_id,origin_id,destination_id,contains_id,versao_modelo
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0292AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0386AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0492AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0349AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0355AAN0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0917AAV0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0650AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0687AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0901AAVBA,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0685AAN0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0630AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0917AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0910AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0779AAN0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0326AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0635AAP0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0327AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0485AAP0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0328AAR0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0915AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0385AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0497AAN0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0232AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0399AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0484AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0634AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0324AAP0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0665AAVBA,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0946AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0685AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0313AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
2025-10-04,2025-10-04,2025-10-11,BUC_IN,O0922AAA0A,,,,40c2bc268bdc2e22bc2474d99bca38dcb9ea4c40
