route_short_name,n_paradas,crimes_medio,crimes_max,crimes_total,pct_sem_crime,price,crimes_dia_max,crimes_dia_min,crimes_dia_std,crimes_hora_max,crimes_hora_min,crimes_hora_std,nivel_perigo_score,cluster,perfil_risco,route_id,indicador_ar_condicionado,duracao_viagem,ano_fabricacao,crimes_pico_manha,crimes_pico_tarde,crimes_noturnos,crimes_fim_semana
803,123,4.99,58.0,1795.0,51.39,5.0,113,50,19.672315572906,53,7,12.107534484953897,7.88,0,Médio Risco,O0803AAA0A,0.305,53.61,2013.08,81,122,165,166
804,118,0.87,5.0,258.0,82.03,5.0,35,6,9.26334301478272,24,0,6.652884304211023,1.24,1,Baixo Risco,O0804AAA0A,0.18600000000000003,59.65,2011.22,17,37,18,41
805,74,1.5,4.0,425.0,63.03,5.0,36,0,12.179217270963406,24,0,7.619578138879657,1.74,1,Baixo Risco,O0805AAA0A,0.08199999999999999,27.44,2012.01,1,20,66,18
807,44,1.19,5.0,133.0,73.21,5.0,25,0,8.920281866142378,17,0,4.889911234783099,0.77,1,Baixo Risco,O0807AAA0A,0.2,36.74,2010.6,9,30,0,28
809,21,0.92,4.0,36.0,84.62,5.0,7,0,2.2886885410853175,5,0,1.382473104280142,0.19,1,Baixo Risco,O0809AAA0A,0.0,12.43,2010.67,10,2,2,10
810,143,4.54,79.0,6215.0,66.42,5.0,146,34,38.37099599089569,75,5,20.38950426219262,13.43,2,Alto Risco,O0810AAA0A,0.355,66.97,2012.24,65,130,269,108
812,62,6.62,29.0,2046.0,42.72,5.0,120,0,35.88340908580242,34,0,9.918143234365559,6.1,0,Médio Risco,O0812AAA0A,0.0,47.21,2010.0,67,79,137,75
817,87,0.71,6.0,506.0,80.45,5.0,25,0,9.015859043136947,17,0,4.856640456296835,1.59,1,Baixo Risco,O0817AAA0A,0.0,48.2,2010.17,0,24,5,6
819,58,1.72,8.0,244.0,54.93,5.0,31,0,11.036735197037384,24,0,5.723078121815726,1.18,1,Baixo Risco,O0819AAA0A,0.0,28.06,2011.76,33,21,26,25
820,94,0.28,1.0,51.0,100.0,5.0,8,0,3.5923198500080566,7,0,2.3015432755599807,0.24,1,Baixo Risco,O0820AAA0A,1.0,40.79,2016.0,13,0,6,6
821,74,0.88,5.0,65.0,72.97,5.0,22,0,9.086882225022428,16,0,4.005204946899305,0.52,1,Baixo Risco,O0821AAA0A,0.04,15.8,2010.24,0,16,17,21
822,69,0.71,4.0,49.0,75.36,5.0,17,0,7.118052168020874,10,0,2.9705681884647657,0.34,1,Baixo Risco,O0822AAA0A,0.33299999999999996,16.56,2011.33,0,12,15,16
825,101,0.83,5.0,314.0,82.63,5.0,21,3,7.994045402971008,14,0,3.6769454083834154,0.66,1,Baixo Risco,O0825AAA0A,0.08199999999999999,50.67,2010.84,12,18,28,24
